name and specs,price
DELL Vostro 14  Intel Core I3(1TB HDD 8GB RAM)Windows 10 +Free Mouse,"₦ 273,000"
"DELL Latitude 5420 14 11Th Gen Intel Core I5-16GB RAM,512GB SSD,Intel Iris Xe Graphics,Win 10 Pro","₦ 600,000"
DELL G5 5505 15.6 Gaming Laptop AMD 4th Gen Ryzen 5 8GB RAM 256GB PCIe SSD AMD Radeon RX 5600M Wins 10,"₦ 455,000"
"DELL XPS 15 9510 (Silver/Frost-white) - 15.4"" OLED 3.5K Touchscreen - 32GB RAM - 11th Gen Core I7-11800H (8 Cores, Up To 5.0GHz) - 1TB SSD - NVIDIA GeForce RTX 3050 Ti - Windows 11 Home X64","₦ 1,450,000"
DELL Vostro 3401 14'' FHD Intel Core I3 8GB RAM 1TB HDD Windows 10 Pro,"₦ 260,000"
"DELL Inspiron 15 Touchscreen Intel Core I5 8GB/256GB SSD 15.6"" FHD Wins 11+ Mouse","₦ 398,500"
DELL Vostro 14 10th Gen Intel Core I3 1TB HDD 8GB RAM Windows 10,"₦ 273,000"
DELL Vostro 3401 14'' FHD(10th Gen Core I3 1TB HDD - 16GB RAM Windows 10 Pro,"₦ 289,700"
DELL Vostro 15 10th Gen Intel Core I5 1TB HDD 12GB RAM Windows 10 Pro + Free Mouse,"₦ 384,700"
"DELL Latitude 3420 Laptop Core I5-1137G7 256GB SSD - 8GB RAM - 14"" IPS Display - BT  Win10 Pro -  - Integrated Intel Iris Xe Graphics.","₦ 440,000"
"DELL Inspiron 14 2-in-1 Touch/Backlit Keyboard Intel Core I5 -8GB RAM - 256GB SSD 14"" Wins 10","₦ 498,000"
"DELL Inspiron 14 Intel Core I3 128GB SSD+1TB HDD,16GB RAM Windows 10 + Free Bag","₦ 328,990"
"DELL XPS 15 9510 CORE I9-11900H,1TB SSD/16GB,4GB NVIDIA,15.6"" FHD,BACKLIT,F/PRINT,WIN 10","₦ 1,600,000"
"DELL XPS 15 9520 INTEL CORE I9-12900HK, 16GB RAM, 1TB SSD, 4GB NVIDIA  WIN 11 PRO","₦ 1,600,000"
"DELL Inspiron 15 Ryzen 5 3450U 256GB 8GB 15.6"" Touch Windows 10","₦ 370,000"
DELL Vostro 3401 14'' FHD(10th Gen Core I3 8GB  1TB / Win10,"₦ 273,900"
DELL Vostro 15 10th Gen Intel Core I5 1TB HDD 12GB RAM Windows 10 Pro + Mouse,"₦ 398,000"
DELL Alienware X15 R1 GAMING:Core™ I7-11800H 1TB SSD/16GB NVIDIA® RTX 3070 8GB,"₦ 1,780,000"
"DELL XPS 13 9305 11Th Gen Intel Core I7,2.8GHz,1TB SSD,16GB RAM,13.4''Backlit Keyboard, Win 10","₦ 1,128,000"
"DELL XPS 15 9520:Intel Core  I7-12700H,512GB SSD16GB RAM Nvidia RTX 3050(4GB)","₦ 1,140,000"
"DELL Vostro 3400 Laptop Intel Core I5-1135G7 11th Gen (8GB RAM, 1TB Hdd, 14'' FHD, Black) Win 11","₦ 450,000"
DELL Latitude 3189 X360 INTEL PENTIUM 256GB SSD 8GB  WINS 10 Pro+ Free Pouch,"₦ 254,000"
DELL Alienware M15 R5 Gaming Laptop 15.6 FHD AMD Ryzen R9 16GB 1TB SSD RTX 3070 Wins 11,"₦ 1,450,000"
"DELL G3 3500 Gaming PC Intel 10th Gen Intel Core I5,8GB RAM,512GB SSD,NVIDIA GeForce GTX 1650 4GB,Win 10","₦ 610,000"
"DELL LATITUDE 5320 Core I7-1185G7 512GB SSD/16GB,BACKLIT","₦ 704,000"
DELL Latitude 5520 Core I7 3.0GHz 512GB SSD 16GB RAM W10P BACKLIT,"₦ 645,500"
DELL Vostro - Intel Core I3  1tb Hdd 4gb Ram Windows 10,"₦ 263,000"
DELL Vostro 14 11th Gen - Intel Core I3 1tb Hdd 8gb Ram Windows 10,"₦ 273,000"
DELL Vostro 15 10th Gen Intel Core I5 1TB HDD 12GB RAM Windows 10 Pro,"₦ 394,900"
DELL Vostro 14 11th Gen Intel Core I3 1TB HDD 4GB RAM Windows 10,"₦ 263,000"
DELL Vostro 3400 14.0-inch HD  11th Gen Intel Core I3 8GB RAM 1TB HDD Win 10 PRO,"₦ 267,000"
"DELL LATITUDE 5420 INTEL CORE I5- 1135G7, 16GB  RAM, 256GB SSD WIN 11 PRO","₦ 528,000"
DELL Alienware M15 R4 GAMING Core I7 512GB SSD 16GB RAM 6GB NVIDIA RTX LUNAR LIGHT RGB BACKLIT Keyboard,"₦ 1,230,000"
DELL XPS 13 9370 INTEL CORE I7-8550 256GB SSD 8GB RAM,"₦ 656,500"
DELL Vostro 15 10th Gen Intel Core I5 1TB HDD 12GB RAM Windows 10 Pro + Free Bag & Mouse,"₦ 382,000"
"DELL Vostro 14"" Intel Core I3 10th Gen 16GB RAM 1TB HDD  Windows 10 Pro","₦ 292,000"
"DELL Alienware - M15 R3 - 15.6"" Gaming Laptop - Intel Core I7 - 16GB Memory - 8GB NVIDIA GeForce RTX 2070 SUPER - 512GB SSD - RGB Keyboard - Dark Side Of The Moon Notebook AWM15-7593BLK-PUS","₦ 1,300,000"
"DELL Latitude 7480 Intel Core I7 (32GB, 512gb Solid State Drive)","₦ 500,000"
DELL XPS 17 9700 17″ Laptop 10th Gen,"₦ 1,400,000"
"DELL Vostro 14 11th Gen Intel Core I3 8GB/1TB HDD 14.1""  Windows 10+ Led Lamp","₦ 270,000"
,
,
,
,
,
,
,
,
